Service Request (SR) Number,SR Description,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile
21-00520287,Coyote Complaints,Phone,Closed,11/23/2021 11:45:32 AM,11/22/2021 03:11:22 PM,11/23/2021 11:45:32 AM,11/23/2021 11:45:32 AM,"5627 POOL CANYON CV, AUSTIN, TX 78734",5627,POOL CANYON,AUSTIN,78734,TRAVIS,3054464.25166231,10125211.04926820,30.42145935,-97.92861436,"(30.42145935, -97.92861436)",,460L,WZ35
20-00153649,Coyote Complaints,Phone,Closed,04/20/2020 02:35:03 PM,04/19/2020 03:41:11 PM,04/20/2020 02:35:03 PM,04/20/2020 02:35:03 PM,"TANNEHILL LN & E MARTIN LUTHER KING JR BLVD, AUSTIN, TX",,TANNEHILL LN & E MARTIN LUTHER KING JR BLVD,AUSTIN,78723,TRAVIS,3137317.52948314,10077933.67224620,30.28630933,-97.6694123,"(30.28630933, -97.6694123)",1,586H,MM24
19-00490819,Coyote Complaints,Phone,Closed,12/30/2019 12:46:34 PM,12/30/2019 12:06:50 PM,12/30/2019 12:46:34 PM,12/30/2019 12:46:34 PM,"15701 PEARCE LN, AUSTIN, TX 78617",15701,PEARCE,AUSTIN,78617,TRAVIS,3164586.23746675,10029723.52771710,30.15196773,-97.586815,"(30.15196773, -97.586815)",,708D,MR12
20-00530319,Coyote Complaints,Phone,Closed,01/05/2021 01:03:17 PM,12/31/2020 05:17:21 PM,01/05/2021 01:03:17 PM,01/05/2021 01:03:17 PM,"11205 RANDY RD, AUSTIN, TX 78726",11205,RANDY,AUSTIN,78726,TRAVIS,3089156.08141776,10134956.29707700,30.44613908,-97.8178765,"(30.44613908, -97.8178765)",6,433T,ME37
19-00476070,Coyote Complaints,Phone,Closed,12/17/2019 01:26:32 PM,12/16/2019 04:16:16 PM,12/17/2019 01:26:32 PM,12/17/2019 01:26:32 PM,"W WELLS BRANCH PKWY & THERMAL DR, AUSTIN, TX",,W WELLS BRANCH PKWY & THERMAL DR,AUSTIN,78728,TRAVIS,3133569.98743069,10131926.43702070,30.43497196,-97.67719798,"(30.43497196, -97.67719798)",,466D,MM36
21-00003261,Coyote Complaints,Phone,Closed,01/05/2021 12:36:01 PM,01/03/2021 11:42:28 PM,01/05/2021 12:36:01 PM,01/05/2021 12:36:01 PM,"W BRAKER LN & KRAMER LN, AUSTIN, TX",,W BRAKER LN & KRAMER LN,AUSTIN,78758,TRAVIS,3122348.13937140,10115611.23762560,30.39085573,-97.71401558,"(30.39085573, -97.71401558)",4,495H,MK33
19-00490902,Coyote Complaints,Phone,Closed,12/30/2019 01:10:38 PM,12/30/2019 12:54:20 PM,12/30/2019 01:10:38 PM,12/30/2019 01:10:38 PM,"6810 THORNCLIFFE DR A, AUSTIN, TX 78731",6810,THORNCLIFFE,AUSTIN,78731,TRAVIS,3108330.85758263,10101021.69524580,30.35165072,-97.75953279,"(30.35165072, -97.75953279)",10,524M,MH29
19-00454575,Coyote Complaints,Phone,Closed,12/03/2019 01:09:00 PM,11/29/2019 09:11:42 PM,12/03/2019 01:09:00 PM,12/03/2019 01:09:00 PM,"VAUGHAN ST & SORIN ST, AUSTIN, TX",,VAUGHAN ST & SORIN ST,AUSTIN,78723,TRAVIS,3128387.60734458,10080143.97194860,30.29296987,-97.69753078,"(30.29296987, -97.69753078)",9,586B,ML24
19-00454584,Coyote Complaints,Phone,Closed,12/02/2019 04:22:56 PM,11/29/2019 09:29:55 PM,12/02/2019 04:22:56 PM,12/02/2019 04:22:56 PM,"4105 VAUGHAN ST, AUSTIN, TX 78723",4105,VAUGHAN,AUSTIN,78723,TRAVIS,3128426.02490767,10080277.28240820,30.29333381,-97.69739908,"(30.29333381, -97.69739908)",9,586B,ML24
20-00184097,Coyote Complaints,Phone,Closed,05/12/2020 02:48:11 PM,05/10/2020 02:55:56 PM,05/12/2020 02:48:11 PM,05/12/2020 02:48:11 PM,"4904 WHITE ELM DR, AUSTIN, TX 78749",4904,WHITE ELM,AUSTIN,78749,TRAVIS,3082052.36008082,10054937.02261130,30.2266129,-97.84609206,"(30.2266129, -97.84609206)",8,642C,MD18
20-00112253,Coyote Complaints,Phone,Closed,03/27/2020 01:58:43 PM,03/25/2020 07:32:55 AM,03/27/2020 01:58:43 PM,03/27/2020 01:58:43 PM,"4600 MONTEREY OAKS BLVD, AUSTIN, TX 78749",4600,MONTEREY OAKS,AUSTIN,78749,TRAVIS,3084747.25063416,10056776.00206580,30.2315021,-97.83743073,"(30.2315021, -97.83743073)",8,612Z,MD19
22-00282329,Coyote Complaints,Phone,Closed,08/08/2022 01:02:04 PM,08/05/2022 09:16:55 AM,08/08/2022 01:02:04 PM,08/08/2022 01:02:04 PM,"1414 GRACY DR, AUSTIN, TX 78758",1414,GRACY,AUSTIN,78758,TRAVIS,3128390.44900382,10115719.52491230,30.3907608,-97.69484846,"(30.3907608, -97.69484846)",7,496K,ML32
21-00006291,Coyote Complaints,Phone,Closed,01/08/2021 10:07:49 AM,01/05/2021 04:08:48 PM,01/08/2021 10:07:49 AM,01/08/2021 10:07:49 AM,"3305 S PLEASANT VALLEY RD, AUSTIN, TX 78741",3305,PLEASANT VALLEY,AUSTIN,78741,TRAVIS,3118093.99099740,10052863.57378480,30.21864696,-97.73215798,"(30.21864696, -97.73215798)",3,645F,MJ18
20-00004707,Coyote Complaints,Phone,Closed,01/06/2020 11:31:22 AM,01/04/2020 05:14:57 PM,01/06/2020 11:31:23 AM,01/06/2020 11:31:22 AM,"7900 N FM 620 RD, AUSTIN, TX 78726",7900,620,Austin,78726,TRAVIS,3079509.98282065,10123072.67765200,30.41406797,-97.84932297,"(30.41406797, -97.84932297)",6,462U,MD34
20-00004699,Coyote Complaints,Phone,Closed,02/03/2020 05:43:57 PM,01/04/2020 05:11:03 PM,02/03/2020 05:43:57 PM,02/03/2020 05:43:57 PM,"7900 N FM 620 RD, AUSTIN, TX 78726",7900,620,Austin,78726,TRAVIS,3079509.98282065,10123072.67765200,30.41406797,-97.84932297,"(30.41406797, -97.84932297)",6,462U,MD34
21-00461584,Coyote Complaints,Phone,Closed,10/13/2021 09:58:44 AM,10/11/2021 03:01:47 PM,10/13/2021 09:58:44 AM,10/13/2021 09:58:44 AM,"1707 MILES AVE, AUSTIN, TX 78745",1707,MILES,AUSTIN,78745,TRAVIS,3096466.50006184,10047116.00165290,30.20421975,-97.80102801,"(30.20421975, -97.80102801)",5,643R,MF17
20-00497729,Coyote Complaints,Phone,Closed,12/09/2020 09:44:19 AM,12/07/2020 01:06:00 PM,12/09/2020 09:44:19 AM,12/09/2020 09:44:19 AM,"2303 TRAILSIDE DR, AUSTIN, TX 78704",2303,TRAILSIDE,AUSTIN,78704,TRAVIS,3104479.74903562,10067277.00142790,30.2591354,-97.77420013,"(30.2591354, -97.77420013)",5,614B,MG21
19-00427554,Coyote Complaints,Phone,Closed,11/07/2019 09:56:49 AM,11/06/2019 03:12:43 PM,11/07/2019 09:56:49 AM,11/07/2019 09:56:49 AM,"17 KERN RAMBLE, AUSTIN, TX 78722",17,KERN RAMBLE,AUSTIN,78722,TRAVIS,3122558.40347292,10078783.94310800,30.28960978,-97.71609676,"(30.28960978, -97.71609676)",9,585H,MK24
20-00299237,Coyote Complaints,Phone,Closed,07/28/2020 11:28:38 AM,07/22/2020 07:14:59 PM,07/28/2020 11:28:38 AM,07/28/2020 11:28:38 AM,"6206 LOST CREEK CIR, AUSTIN, TX 78746",6206,LOST CREEK,AUSTIN,78746,TRAVIS,3084192.77403592,10076095.14294710,30.28464262,-97.83781381,"(30.28464262, -97.83781381)",8,582M,MD23
20-00025371,Coyote Complaints,Phone,Closed,01/21/2020 12:17:21 PM,01/21/2020 10:21:05 AM,01/21/2020 12:17:21 PM,01/21/2020 12:17:21 PM,"2911 NIAGARA DR, AUSTIN, TX 78733",2911,NIAGARA,AUSTIN,78733,TRAVIS,3077222.3010716,10099863.5164273,30.35040796,-97.85821689,"(30.35040796, -97.85821689)",10,522K,MC29
20-00307893,Coyote Complaints,Phone,Closed,07/30/2020 08:27:56 AM,07/28/2020 06:54:48 PM,07/30/2020 08:27:56 AM,07/30/2020 08:27:56 AM,"2121 DRY TORTUGAS TRL, AUSTIN, TX 78747",2121,DRY TORTUGAS,AUSTIN,78747,TRAVIS,3101901.88202400,10028887.21059710,30.15377023,-97.78514816,"(30.15377023, -97.78514816)",5,704A,MG12
20-00039980,Coyote Complaints,Phone,Closed,02/01/2020 12:14:41 PM,02/01/2020 10:28:45 AM,02/01/2020 12:14:41 PM,02/01/2020 12:14:41 PM,"11507 SHERWOOD FOREST, AUSTIN, TX 78759",11507,SHERWOOD,AUSTIN,78759,TRAVIS,3102990.35192403,10129563.39529450,30.43044704,-97.7743785,"(30.43044704, -97.7743785)",10,464F,MG36
20-00040131,Coyote Complaints,Phone,Closed,02/03/2020 04:07:54 PM,02/01/2020 12:16:53 PM,02/03/2020 04:07:55 PM,02/03/2020 04:07:54 PM,"3816 S LAMAR BLVD NB, AUSTIN, TX 78704",3816,LAMAR,AUSTIN,78704,TRAVIS,3099803.99065982,10059653.41167000,30.23847404,-97.78955824,"(30.23847404, -97.78955824)",5,614S,MG19
19-00442789,Coyote Complaints,Phone,Closed,11/21/2019 10:14:15 AM,11/19/2019 12:50:52 PM,11/21/2019 10:14:15 AM,11/21/2019 10:14:15 AM,"NARROW RIDGE DR & WESTMINSTER GLEN AVE, AUSTIN, TX",,NARROW RIDGE DR & WESTMINSTER GLEN AVE,AUSTIN,78730,TRAVIS,3080076.69047599,10104495.01812460,30.36296465,-97.84884177,"(30.36296465, -97.84884177)",10,522C,MD30
20-00343798,Coyote Complaints,Phone,Closed,08/25/2020 08:57:56 AM,08/21/2020 01:46:40 PM,08/25/2020 08:57:55 AM,08/25/2020 08:57:56 AM,"2901 OAKHURST AVE, AUSTIN, TX 78703",2901,OAKHURST,AUSTIN,78703,TRAVIS,3111490.34702493,10082228.66880460,30.29978998,-97.75090166,"(30.29978998, -97.75090166)",10,554Z,MH25
20-00020773,Coyote Complaints,Phone,Closed,01/21/2020 12:14:24 PM,01/17/2020 08:50:13 AM,01/21/2020 12:14:24 PM,01/21/2020 12:14:24 PM,"2500 MECCA RD, AUSTIN, TX 78733",2500,MECCA,AUSTIN,78733,TRAVIS,3076273.25219705,10098622.9973856,30.34705589,-97.86131237,"(30.34705589, -97.86131237)",,522P,MC29
21-00299866,Coyote Complaints,Phone,Closed,06/28/2021 01:38:25 PM,06/24/2021 09:45:04 PM,06/28/2021 01:38:25 PM,06/28/2021 01:38:25 PM,"1006 MARKHAM LN, AUSTIN, TX 78753",1006,MARKHAM,AUSTIN,78753,TRAVIS,3139692.74852533,10116758.99827190,30.39287608,-97.65893213,"(30.39287608, -97.65893213)",7,497E,MN33
20-00086714,Coyote Complaints,Phone,Closed,04/22/2020 09:34:12 AM,03/09/2020 09:01:16 AM,04/22/2020 09:34:12 AM,04/22/2020 09:34:12 AM,"2007 APRICOT GLEN DR, AUSTIN, TX 78746",2007,APRICOT GLEN,AUSTIN,78746,TRAVIS,3095107.15706303,10067889.53313210,30.26140855,-97.80383482,"(30.26140855, -97.80383482)",8,613C,MF21
20-00116039,Coyote Complaints,Phone,Closed,03/27/2020 04:13:45 PM,03/26/2020 02:07:03 PM,03/27/2020 04:13:45 PM,03/27/2020 04:13:45 PM,"4600 MONTEREY OAKS BLVD #428, AUSTIN, TX 78749",4600,MONTEREY OAKS,AUSTIN,78749,TRAVIS,3084747.25063416,10056776.00206580,30.2315021,-97.83743073,"(30.2315021, -97.83743073)",8,612Z,MD19
22-00285475,Coyote Complaints,Phone,Closed,08/08/2022 12:53:00 PM,08/08/2022 06:42:43 AM,08/08/2022 12:53:00 PM,08/08/2022 12:53:00 PM,"15816 SAMBUCA CIR, AUSTIN, TX 78728",15816,SAMBUCA,AUSTIN,78728,TRAVIS,3130438.49826211,10142961.31835950,30.46551019,-97.68629872,"(30.46551019, -97.68629872)",,436G,MM39
20-00024950,Coyote Complaints,Phone,Closed,01/21/2020 03:56:34 PM,01/20/2020 09:34:44 PM,01/21/2020 03:56:34 PM,01/21/2020 03:56:34 PM,"1143 SHADY LN, AUSTIN, TX 78721",1143,SHADY,AUSTIN,78721,TRAVIS,3130905.89832918,10069239.7466675,30.26283186,-97.69037466,"(30.26283186, -97.69037466)",3,586X,ML22
20-00040914,Coyote Complaints,Phone,Closed,03/20/2020 02:04:39 PM,02/02/2020 09:36:13 AM,03/20/2020 02:04:39 PM,03/20/2020 02:04:39 PM,"HARDY DR & JUSTIN LN, AUSTIN, TX",,HARDY DR & JUSTIN LN,AUSTIN,78757,TRAVIS,3116372.24941860,10098386.99722650,30.34389426,-97.73424041,"(30.34389426, -97.73424041)",7,525T,MJ28
20-00211056,Coyote Complaints,Phone,Closed,06/01/2020 09:59:11 AM,05/28/2020 03:31:04 PM,06/01/2020 09:59:11 AM,06/01/2020 09:59:11 AM,"104 S TUMBLEWEED TRL, AUSTIN, TX 78733",104,TUMBLEWEED,AUSTIN,78733,TRAVIS,3072730.50047518,10090729.99864970,30.32557456,-97.87309442,"(30.32557456, -97.87309442)",,552E,MC27
22-00407146,Coyote Complaints,Phone,Closed,11/03/2022 02:21:36 PM,10/31/2022 01:19:07 PM,11/03/2022 02:21:36 PM,11/03/2022 02:21:36 PM,"5825 VIA DR, AUSTIN, TX 78735",5825,VIA,AUSTIN,78735,TRAVIS,3083212.39097804,10065411.86230780,30.25533577,-97.84167715,"(30.25533577, -97.84167715)",8,612H,MD21
20-00040081,Coyote Complaints,Phone,Closed,02/28/2020 06:00:00 PM,02/01/2020 11:28:40 AM,02/28/2020 06:00:00 PM,02/28/2020 06:00:00 PM,"E PARMER LN & HARRIS BRANCH PKWY, AUSTIN, TX",,E PARMER LN & HARRIS BRANCH PKWY,AUSTIN,78754,TRAVIS,3154329.92711223,10108253.21843770,30.36851964,-97.61317998,"(30.36851964, -97.61317998)",1,498X,MQ31
20-00516199,Coyote Complaints,Phone,Closed,12/23/2020 10:09:12 AM,12/21/2020 09:13:34 AM,12/23/2020 10:09:12 AM,12/23/2020 10:09:12 AM,"5920 RUBICON RUN, AUSTIN, TX 78745",5920,RUBICON,AUSTIN,78745,TRAVIS,3098371.37563580,10049518.71201440,30.21070511,-97.79482601,"(30.21070511, -97.79482601)",2,643M,MF17
20-00516435,Coyote Complaints,Phone,Closed,12/23/2020 10:33:23 AM,12/21/2020 10:56:06 AM,12/23/2020 10:33:23 AM,12/23/2020 10:33:23 AM,"702 JOSEPHINE ST, AUSTIN, TX 78704",702,JOSEPHINE,AUSTIN,78704,TRAVIS,3108688.49799051,10067335.49149840,30.25902929,-97.76086875,"(30.25902929, -97.76086875)",5,614C,MH21
20-00517776,Coyote Complaints,Phone,Closed,12/23/2020 10:00:20 AM,12/22/2020 09:18:44 AM,12/23/2020 10:00:20 AM,12/23/2020 10:00:20 AM,"LAKE CREEK PKWY & N FM 620 RD, AUSTIN, TX",,LAKE CREEK PKWY & N FM 620 RD,AUSTIN,78750,WILLIAMSON,3089608.53198085,10140793.24714260,30.46215618,-97.81602187,"(30.46215618, -97.81602187)",6,433F,ME39
22-00408058,Coyote Complaints,Phone,Closed,11/03/2022 09:16:20 AM,11/01/2022 06:56:25 AM,11/03/2022 09:16:20 AM,11/03/2022 09:16:20 AM,"WESTOVER RD & BLAND ST, AUSTIN, TX",,WESTOVER RD & BLAND ST,AUSTIN,78703,TRAVIS,3108697.49884078,10082559.00156700,30.30087597,-97.75972479,"(30.30087597, -97.75972479)",10,554Z,MH25
20-00041102,Coyote Complaints,Phone,Closed,02/03/2020 04:28:52 PM,02/02/2020 12:58:35 PM,02/03/2020 04:28:52 PM,02/03/2020 04:28:52 PM,"10301 FM 2222 RD, AUSTIN, TX 78730",10301,2222,AUSTIN,78730,TRAVIS,3082798.49153945,10114943.20749950,30.39151841,-97.83947107,"(30.39151841, -97.83947107)",10,492H,MD33
20-00518869,Coyote Complaints,Phone,Closed,12/23/2020 09:57:06 AM,12/22/2020 04:46:36 PM,12/23/2020 09:57:06 AM,12/23/2020 09:57:06 AM,"1200 BARTON HILLS DR, AUSTIN, TX 78704",1200,BARTON HILLS,AUSTIN,78704,TRAVIS,3104429.46343370,10068185.96229900,30.26163719,-97.77429314,"(30.26163719, -97.77429314)",5,614B,MG21
20-00518966,Coyote Complaints,Phone,Closed,12/23/2020 09:48:03 AM,12/22/2020 05:58:08 PM,12/23/2020 09:48:03 AM,12/23/2020 09:48:03 AM,"1505 TERRAPIN CT B, AUSTIN, TX 78746",1505,TERRAPIN,AUSTIN,78746,TRAVIS,3095051.75059460,10070180.00102080,30.26770823,-97.80384531,"(30.26770823, -97.80384531)",8,583Y,MF22
22-00408200,Coyote Complaints,Phone,Closed,11/03/2022 02:15:42 PM,11/01/2022 08:52:06 AM,11/03/2022 02:15:41 PM,11/03/2022 02:15:42 PM,"CIRCLE DR & HACIENDA DR, SAN LEANNA, TX",,CIRCLE DR & HACIENDA DR,SAN LEANNA,78748,TRAVIS,3091613.38072099,10025958.99008760,30.14636478,-97.81790129,"(30.14636478, -97.81790129)",,703F,ME12
22-00408293,Coyote Complaints,Phone,Closed,11/03/2022 11:11:06 AM,11/01/2022 09:39:21 AM,11/03/2022 11:11:06 AM,11/03/2022 11:11:06 AM,"11400 SUNSET DR, SAN LEANNA, TX 78748",11400,SUNSET,SAN LEANNA,78748,TRAVIS,3091184.82817255,10025875.38423050,30.14616159,-97.81926272,"(30.14616159, -97.81926272)",,703F,ME12
22-00408839,Coyote Complaints,Phone,Closed,11/03/2022 02:45:47 PM,11/01/2022 01:58:20 PM,11/03/2022 02:45:47 PM,11/03/2022 02:45:47 PM,"11406 RIDGE DR, SAN LEANNA, TX 78748",11406,RIDGE,SAN LEANNA,78748,TRAVIS,3090696.40310376,10026321.03201690,30.14741696,-97.8207757,"(30.14741696, -97.8207757)",,703F,ME12
22-00408842,Coyote Complaints,Phone,Closed,11/03/2022 02:51:52 PM,11/01/2022 01:59:46 PM,11/03/2022 02:51:51 PM,11/03/2022 02:51:52 PM,"CIRCLE DR & RIDGE DR, SAN LEANNA, TX",,CIRCLE DR & RIDGE DR,SAN LEANNA,78748,TRAVIS,3091574.75279142,10026186.00001910,30.1469912,-97.81800723,"(30.1469912, -97.81800723)",,703F,ME12
19-00405163,Coyote Complaints,Phone,Closed,10/24/2019 02:14:49 PM,10/21/2019 12:45:41 PM,10/24/2019 02:14:49 PM,10/24/2019 02:14:49 PM,"1201 TINNIN FORD RD 29, AUSTIN, TX 78741",1201,TINNIN FORD,AUSTIN,78741,TRAVIS,3120364.49905988,10062007.00141280,30.24363449,-97.72429254,"(30.24363449, -97.72429254)",3,615Q,MK20
20-00002878,Coyote Complaints,Phone,Closed,01/21/2020 09:20:20 AM,01/03/2020 10:24:16 AM,01/21/2020 09:20:20 AM,01/21/2020 09:20:20 AM,"11282 TAYLOR DRAPER LN, AUSTIN, TX 78759",11282,TAYLOR DRAPER,AUSTIN,78759,TRAVIS,3109536.74924626,10122724.9979559,30.41123346,-97.75411542,"(30.41123346, -97.75411542)",10,464V,MH34
19-00409660,Coyote Complaints,Phone,Closed,10/24/2019 01:26:36 PM,10/24/2019 11:06:32 AM,10/24/2019 01:26:36 PM,10/24/2019 01:26:36 PM,"CATALINA DR & GRANADA DR, AUSTIN, TX",,CATALINA DR & GRANADA DR,AUSTIN,78741,TRAVIS,3116403.74875080,10053708.00311030,30.2210767,-97.73744552,"(30.2210767, -97.73744552)",3,645B,MJ18
20-00057505,Coyote Complaints,Phone,Closed,02/19/2020 02:25:32 PM,02/15/2020 03:08:50 PM,02/19/2020 02:25:33 PM,02/19/2020 02:25:32 PM,"11350 FOUR POINTS DR, AUSTIN, TX 78726",11350,FOUR POINTS,AUSTIN,78726,TRAVIS,3079353.39296780,10120128.96894510,30.40598555,-97.85002808,"(30.40598555, -97.85002808)",6,462Y,MD34
19-00423707,Coyote Complaints,Phone,Closed,02/02/2020 01:09:55 PM,11/04/2019 10:50:07 AM,02/02/2020 01:09:55 PM,02/02/2020 01:09:55 PM,"NATURAL SPRING WAY & RICK WHINERY DR, AUSTIN, TX",,NATURAL SPRING WAY & RICK WHINERY DR,AUSTIN,78728,TRAVIS,3134224.99973377,10136991.99816190,30.44885328,-97.674736,"(30.44885328, -97.674736)",,436V,MM37
21-00137786,Coyote Complaints,Phone,Closed,03/24/2021 11:47:53 AM,03/24/2021 09:02:51 AM,03/24/2021 11:47:53 AM,03/24/2021 11:47:53 AM,"5604 MONTVIEW ST, AUSTIN, TX 78756",5604,MONTVIEW,AUSTIN,78756,TRAVIS,3114094.74891793,10093976.99868920,30.33191791,-97.74178414,"(30.33191791, -97.74178414)",7,555A,MJ27
22-00259242,Coyote Complaints,Phone,Closed,07/21/2022 01:23:16 PM,07/19/2022 10:17:05 PM,07/21/2022 01:23:16 PM,07/21/2022 01:23:16 PM,"PECAN CREEK PKWY & LAKE CREEK PKWY, AUSTIN, TX",,PECAN CREEK PKWY & LAKE CREEK PKWY,AUSTIN,78750,WILLIAMSON,3092488.84111940,10138556.35689030,30.45582766,-97.80704323,"(30.45582766, -97.80704323)",6,433L,MF38
19-00445092,Coyote Complaints,Phone,Closed,12/04/2019 02:01:20 PM,11/21/2019 07:31:46 AM,12/04/2019 02:01:20 PM,12/04/2019 02:01:20 PM,"5500 TOSCANA AVE, AUSTIN, TX 78724",5500,TOSCANA,AUSTIN,78724,TRAVIS,3144314.22641949,10078175.05628260,30.28651027,-97.64723293,"(30.28651027, -97.64723293)",1,587F,MN24
19-00424678,Coyote Complaints,Phone,Closed,11/06/2019 09:10:30 AM,11/04/2019 09:09:58 PM,11/06/2019 09:10:30 AM,11/06/2019 09:10:30 AM,"2535 SOL WILSON AVE, AUSTIN, TX 78702",2535,SOL WILSON,AUSTIN,78702,TRAVIS,3125724.55947880,10073394.27198200,30.27458932,-97.70647121,"(30.27458932, -97.70647121)",1,586N,ML23
19-00424924,Coyote Complaints,Phone,Closed,11/06/2019 10:10:50 AM,11/05/2019 07:59:42 AM,11/06/2019 10:10:50 AM,11/06/2019 10:10:50 AM,"1301 W OLTORF ST LOT 56, AUSTIN, TX 78704",1301,OLTORF,AUSTIN,78704,TRAVIS,3106390.53190524,10062295.62572080,30.24532131,-97.76851333,"(30.24532131, -97.76851333)",3,614L,MH20
