Service Request (SR) Number,SR Description,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile
23-00023338,Coyote Complaints,Phone,Closed,01/20/2023 12:49:03 PM,01/18/2023 07:42:28 AM,01/20/2023 12:49:03 PM,01/20/2023 12:49:03 PM,"JOURNEYVILLE DR & MENLER DR, AUSTIN, TX",,JOURNEYVILLE DR & MENLER DR,AUSTIN,78735,TRAVIS,3072325.70181987,10063658.31143930,30.25118119,-97.87627222,"(30.25118119, -97.87627222)",8,611H,MB21
23-00024961,Coyote Complaints,Phone,Closed,01/20/2023 12:27:49 PM,01/19/2023 08:16:00 AM,01/20/2023 12:27:49 PM,01/20/2023 12:27:49 PM,"2310 BLISS SPILLAR RD, AUSTIN, TX 78652",2310,BLISS SPILLAR,AUSTIN,78652,TRAVIS,3079956.75040194,10022725.00047130,30.13819431,-97.85499786,"(30.13819431, -97.85499786)",,702P,MC11
23-00025142,Coyote Complaints,Phone,Closed,01/20/2023 12:58:04 PM,01/19/2023 09:58:22 AM,01/20/2023 12:58:04 PM,01/20/2023 12:58:04 PM,"OAK CREST AVE & TERRELL HILL DR, AUSTIN, TX",,OAK CREST AVE & TERRELL HILL DR,AUSTIN,78704,TRAVIS,3107279.25049852,10059162.00013480,30.23665107,-97.7659286,"(30.23665107, -97.7659286)",3,614U,MH19
23-00025935,Coyote Complaints,Phone,Closed,01/20/2023 12:42:59 PM,01/19/2023 04:17:45 PM,01/20/2023 12:42:59 PM,01/20/2023 12:42:59 PM,"16500 YELLOW SAGE 2803, PFLUGERVILLE, TX 78660",16500,YELLOW SAGE,PFLUGERVILLE,78660,TRAVIS,3145595.98946081,10139007.00785890,30.45363992,-97.63850466,"(30.45363992, -97.63850466)",,437Q,MP38
23-00026054,Coyote Complaints,Phone,Closed,01/23/2023 12:31:55 PM,01/19/2023 05:46:30 PM,01/23/2023 12:31:55 PM,01/23/2023 12:31:55 PM,"7415 SOUTHWEST PKWY, AUSTIN, TX 78735",7415,SOUTHWEST,AUSTIN,78735,TRAVIS,3074818.22605486,10065451.51407900,30.25595894,-97.86825422,"(30.25595894, -97.86825422)",8,612E,MC21
23-00026130,Coyote Complaints,Phone,Closed,01/23/2023 12:38:01 PM,01/19/2023 06:40:41 PM,01/23/2023 12:38:01 PM,01/23/2023 12:38:01 PM,"HILL OAKS DR & WOLFCREEK PASS, AUSTIN, TX",,HILL OAKS DR & WOLFCREEK PASS,AUSTIN,78749,TRAVIS,3074386.00157559,10056681.00200880,30.23187591,-97.87023788,"(30.23187591, -97.87023788)",8,612W,MC19
23-00026904,Coyote Complaints,Phone,Closed,01/30/2023 03:09:17 PM,01/20/2023 11:42:32 AM,01/30/2023 03:09:17 PM,01/30/2023 03:09:17 PM,"1901 ONION CREEK PKWY, AUSTIN, TX 78748",1901,ONION CREEK,AUSTIN,78748,TRAVIS,3097240.82236522,10022889.15071050,30.13757517,-97.80032363,"(30.13757517, -97.80032363)",5,703R,MF11
23-00027191,Coyote Complaints,Phone,Closed,01/23/2023 12:28:52 PM,01/20/2023 01:51:27 PM,01/23/2023 12:28:52 PM,01/23/2023 12:28:52 PM,"5301 SOUTHWEST PKWY, AUSTIN, TX 78735",5301,SOUTHWEST,AUSTIN,78735,TRAVIS,3082976.23340900,10061378.60688940,30.24426331,-97.84271092,"(30.24426331, -97.84271092)",8,612R,MD20
23-00028034,Coyote Complaints,Phone,Closed,01/24/2023 01:19:14 PM,01/21/2023 06:12:40 AM,01/24/2023 01:19:14 PM,01/24/2023 01:19:14 PM,"722 PARK BLVD, AUSTIN, TX 78751",722,PARK,AUSTIN,78751,TRAVIS,3120249.99926658,10083400.00252690,30.3024477,-97.72306547,"(30.3024477, -97.72306547)",9,555Y,MK25
23-00029656,Coyote Complaints,Phone,Closed,01/23/2023 11:49:32 AM,01/22/2023 06:16:59 PM,01/23/2023 11:49:32 AM,01/23/2023 11:49:32 AM,"6818 HERGOTZ LN, AUSTIN, TX 78742",6818,HERGOTZ,AUSTIN,78742,TRAVIS,3134502.24763321,10063245.00163080,30.24611805,-97.67943946,"(30.24611805, -97.67943946)",,616L,MM20
23-00030366,Coyote Complaints,Phone,Closed,01/26/2023 02:08:40 PM,01/23/2023 11:28:55 AM,01/26/2023 02:08:40 PM,01/26/2023 02:08:40 PM,"ARROYO SECO & W KOENIG LN, AUSTIN, TX",,ARROYO SECO & W KOENIG LN,AUSTIN,78756,TRAVIS,3116335.88005714,10094185.80814430,30.33234816,-97.73466677,"(30.33234816, -97.73466677)",7,525X,MJ28
23-00030517,Coyote Complaints,Phone,Closed,01/24/2023 09:53:44 AM,01/23/2023 12:37:17 PM,01/24/2023 09:53:44 AM,01/24/2023 09:53:44 AM,"5350 BURNET RD, AUSTIN, TX 78756",5350,BURNET,AUSTIN,78756,TRAVIS,3114550.75105753,10092409.99903300,30.32758124,-97.74045488,"(30.32758124, -97.74045488)",7,555A,MJ27
23-00030581,Coyote Complaints,Phone,Closed,01/27/2023 12:42:58 PM,01/23/2023 01:00:40 PM,01/27/2023 12:42:58 PM,01/27/2023 12:42:58 PM,"5341 BURNET RD, AUSTIN, TX 78756",5341,BURNET,AUSTIN,78756,TRAVIS,3114820.25257186,10092570.80781200,30.32800601,-97.73958901,"(30.32800601, -97.73958901)",7,555B,MJ27
23-00031344,Coyote Complaints,Phone,Closed,01/24/2023 08:23:04 AM,01/23/2023 07:42:58 PM,01/24/2023 08:23:04 AM,01/24/2023 08:23:04 AM,"EL SALIDO PKWY & FENCE POST TRL, AUSTIN, TX",,EL SALIDO PKWY & FENCE POST TRL,AUSTIN,78750,WILLIAMSON,3088414.75177189,10138493.99768920,30.45590997,-97.81997489,"(30.45590997, -97.81997489)",6,433K,ME38
23-00031454,Coyote Complaints,Phone,Closed,01/24/2023 01:40:28 PM,01/23/2023 11:48:39 PM,01/24/2023 01:40:28 PM,01/24/2023 01:40:28 PM,"12805 CAPE MAY LN, AUSTIN, TX 78750",12805,CAPE MAY,AUSTIN,78750,WILLIAMSON,3094681.86235634,10141473.98243350,30.4637108,-97.79987387,"(30.4637108, -97.79987387)",6,433H,MF39
23-00032752,Coyote Complaints,Phone,Closed,01/27/2023 12:36:57 PM,01/24/2023 10:03:26 PM,01/27/2023 12:36:57 PM,01/27/2023 12:36:57 PM,"JAMESBOROUGH ST & HILLVIEW RD, AUSTIN, TX",,JAMESBOROUGH ST & HILLVIEW RD,AUSTIN,78703,TRAVIS,3106980.25137693,10085796.99744580,30.30988589,-97.76492798,"(30.30988589, -97.76492798)",10,554Q,MH26
23-00032753,Coyote Complaints,Phone,Closed,01/26/2023 07:59:52 AM,01/24/2023 10:08:08 PM,01/26/2023 07:59:52 AM,01/26/2023 07:59:52 AM,"DANWOOD DR & BARRINGTON WAY, AUSTIN, TX",,DANWOOD DR & BARRINGTON WAY,AUSTIN,78759,TRAVIS,3103357.00063818,10129372.99888820,30.42990047,-97.77322934,"(30.42990047, -97.77322934)",10,464F,MG36
23-00035455,Coyote Complaints,Phone,Closed,01/27/2023 12:49:02 PM,01/26/2023 05:20:22 PM,01/27/2023 12:49:02 PM,01/27/2023 12:49:02 PM,"1190 AIRPORT BLVD, AUSTIN, TX 78702",1190,AIRPORT,AUSTIN,78702,TRAVIS,3127440.51835333,10073640.51247010,30.27515467,-97.70101833,"(30.27515467, -97.70101833)",1,586N,ML23
23-00035607,Coyote Complaints,Phone,Closed,01/30/2023 12:47:09 PM,01/26/2023 07:28:20 PM,01/30/2023 12:47:08 PM,01/30/2023 12:47:09 PM,"11915 STONEHOLLOW DR, AUSTIN, TX 78758",11915,STONEHOLLOW,AUSTIN,78758,TRAVIS,3125010.69169100,10119202.96764090,30.40055617,-97.70530403,"(30.40055617, -97.70530403)",7,496A,ML33
23-00035890,Coyote Complaints,Phone,Closed,01/30/2023 12:59:16 PM,01/27/2023 08:38:19 AM,01/30/2023 12:59:15 PM,01/30/2023 12:59:16 PM,"5400 SHOAL CREEK BLVD, AUSTIN, TX 78756",5400,SHOAL CREEK,AUSTIN,78756,TRAVIS,3112817.00020877,10092588.99931190,30.32818428,-97.74593552,"(30.32818428, -97.74593552)",7,555A,MJ27
23-00036979,Coyote Complaints,Mobile Device,Closed,01/30/2023 09:00:26 AM,01/27/2023 06:56:29 PM,01/30/2023 09:00:26 AM,01/30/2023 09:00:26 AM,"7208 LENORA ST, AUSTIN, TX 78745",7208,LENORA,AUSTIN,78745,TRAVIS,3097937.75166020,10043187.00238530,30.19332731,-97.79665547,"(30.19332731, -97.79665547)",5,643Z,MF16
23-00037425,Coyote Complaints,Phone,Closed,01/30/2023 03:12:15 PM,01/28/2023 10:29:10 AM,01/30/2023 03:12:15 PM,01/30/2023 03:12:15 PM,"1901 ONION CREEK PKWY, AUSTIN, TX 78748",1901,ONION CREEK,AUSTIN,78748,TRAVIS,3097240.82236522,10022889.15071050,30.13757517,-97.80032363,"(30.13757517, -97.80032363)",5,703R,MF11
23-00038327,Coyote Complaints,Phone,Closed,02/06/2023 10:33:59 AM,01/29/2023 08:57:40 AM,02/06/2023 10:33:59 AM,02/06/2023 10:33:59 AM,"3502 PURPLE HERON DR, AUSTIN, TX 78746",3502,PURPLE HERON,AUSTIN,78746,TRAVIS,3092878.75138216,10070673.00057590,30.26919909,-97.81069144,"(30.26919909, -97.81069144)",8,583U,MF22
23-00044642,Coyote Complaints,Phone,Closed,02/06/2023 12:34:49 PM,02/02/2023 12:09:46 PM,02/06/2023 12:34:49 PM,02/06/2023 12:34:49 PM,"7415 BLUFF SPRINGS RD, AUSTIN, TX 78744",7415,BLUFF SPRINGS,AUSTIN,78744,TRAVIS,3106682.16246768,10038020.21116360,30.17857341,-97.7693618,"(30.17857341, -97.7693618)",2,674L,MH14
23-00057339,Coyote Complaints,Phone,Closed,02/08/2023 03:16:08 PM,02/05/2023 07:25:42 PM,02/08/2023 03:16:08 PM,02/08/2023 03:16:08 PM,"1811 LIGHTSEY RD, AUSTIN, TX 78704",1811,LIGHTSEY,AUSTIN,78704,TRAVIS,3102992.25103159,10060286.00039550,30.2400121,-97.77941867,"(30.2400121, -97.77941867)",5,614P,MG20
23-00058215,Coyote Complaints,Phone,Closed,02/06/2023 01:38:37 PM,02/06/2023 06:09:38 AM,02/06/2023 01:38:37 PM,02/06/2023 01:38:37 PM,"5410 KING HENRY DR, AUSTIN, TX 78724",5410,KING HENRY,AUSTIN,78724,TRAVIS,3139799.49804994,10079845.00019820,30.29139954,-97.6614056,"(30.29139954, -97.6614056)",1,587A,MN24
23-00069823,Coyote Complaints,Phone,Closed,02/09/2023 02:05:41 PM,02/07/2023 06:24:47 PM,02/09/2023 02:05:41 PM,02/09/2023 02:05:41 PM,"1007 E 9TH ST, AUSTIN, TX 78702",1007,9TH,AUSTIN,78702,TRAVIS,3118141.00109450,10070603.00168140,30.26740666,-97.73069528,"(30.26740666, -97.73069528)",1,585X,MJ22
23-00070465,Coyote Complaints,Phone,Closed,02/09/2023 02:50:58 PM,02/07/2023 07:46:34 PM,02/09/2023 02:50:58 PM,02/09/2023 02:50:58 PM,"8600 BRODIE LN 12 AND 13, AUSTIN, TX 78749",8600,BRODIE,AUSTIN,78749,TRAVIS,3083989.67010913,10044789.50228740,30.19859926,-97.84067939,"(30.19859926, -97.84067939)",8,642V,MD16
23-00075269,Coyote Complaints,Phone,Closed,02/10/2023 02:16:48 PM,02/09/2023 01:10:19 AM,02/10/2023 02:16:48 PM,02/10/2023 02:16:48 PM,"10010 ANDERSON MILL RD, AUSTIN, TX 78750",10010,ANDERSON MILL,AUSTIN,78750,WILLIAMSON,3094982.44079256,10135595.05760180,30.44753141,-97.79934508,"(30.44753141, -97.79934508)",6,433V,MF37
23-00076168,Coyote Complaints,Phone,Closed,02/13/2023 11:52:45 AM,02/09/2023 09:35:47 AM,02/13/2023 11:52:45 AM,02/13/2023 11:52:45 AM,"3013 E 3RD ST, AUSTIN, TX 78702",3013,3RD,AUSTIN,78702,TRAVIS,3125117.72845771,10065707.17201760,30.25349821,-97.70896749,"(30.25349821, -97.70896749)",3,615H,MK21
23-00084578,Coyote Complaints,Phone,Closed,02/13/2023 09:18:22 AM,02/11/2023 05:29:10 PM,02/13/2023 09:18:22 AM,02/13/2023 09:18:22 AM,"3839 DRY CREEK DR, AUSTIN, TX 78731",3839,DRY CREEK,AUSTIN,78731,TRAVIS,3106663.62474426,10097659.14584230,30.34251346,-97.7650633,"(30.34251346, -97.7650633)",10,524U,MH28
23-00084964,Coyote Complaints,Phone,Closed,03/01/2023 09:34:39 AM,02/11/2023 08:57:11 PM,03/01/2023 09:34:39 AM,03/01/2023 09:34:39 AM,"10515 N MOPAC EXPY SVRD NB, AUSTIN, TX 78759",10515,MOPAC EXPY,AUSTIN,78759,TRAVIS,3116531.80216853,10115747.07919500,30.39160434,-97.73244813,"(30.39160434, -97.73244813)",7,495F,MJ33
23-00087303,Coyote Complaints,Phone,Closed,02/14/2023 12:36:59 PM,02/13/2023 06:27:32 AM,02/14/2023 12:36:59 PM,02/14/2023 12:36:59 PM,"HUNTERS TRCE & COLONY CREEK DR, AUSTIN, TX",,HUNTERS TRCE & COLONY CREEK DR,AUSTIN,78758,TRAVIS,3123414.24936798,10106757.99973520,30.36645051,-97.71129695,"(30.36645051, -97.71129695)",4,525D,MK30
23-00088353,Coyote Complaints,Phone,Closed,02/15/2023 11:32:35 AM,02/13/2023 10:39:50 AM,02/15/2023 11:32:35 AM,02/15/2023 11:32:35 AM,"800 CARDIFF DR, AUSTIN, TX 78745",800,CARDIFF,AUSTIN,78745,TRAVIS,3102908.75210104,10051679.00009380,30.21635795,-97.78030851,"(30.21635795, -97.78030851)",3,644F,MG18
23-00088942,Coyote Complaints,Phone,Closed,02/13/2023 01:38:26 PM,02/13/2023 12:22:23 PM,02/13/2023 01:38:26 PM,02/13/2023 01:38:26 PM,"LAMPLIGHT VILLAGE AVE & EQUESTRIAN TRL, AUSTIN, TX",,LAMPLIGHT VILLAGE AVE & EQUESTRIAN TRL,AUSTIN,78727,TRAVIS,3129890.74843125,10129618.99853470,30.42887019,-97.68904348,"(30.42887019, -97.68904348)",7,466F,ML36
23-00092201,Coyote Complaints,Phone,Closed,02/17/2023 12:33:59 PM,02/14/2023 12:05:31 PM,02/17/2023 12:33:59 PM,02/17/2023 12:33:59 PM,"9520 SPECTRUM DR, AUSTIN, TX 78717",9520,SPECTRUM,AUSTIN,78717,WILLIAMSON,3104211.59414595,10148189.59011390,30.48157094,-97.76914233,"(30.48157094, -97.76914233)",6,404U,MH40
23-00094623,Animal Protection - Coyote Complaints,Phone,Closed,01/11/2024 10:20:43 AM,02/15/2023 09:21:38 AM,01/11/2024 10:20:43 AM,01/11/2024 10:20:43 AM,"907 W SLAUGHTER LN, AUSTIN, TX 78748",907,SLAUGHTER,AUSTIN,78748,TRAVIS,3094491.00000000,10035456.00000000,30.17229148,-97.8081178,"(30.17229148, -97.8081178)",5,673Q,MF14
23-00102717,Coyote Complaints,Mobile Device,Closed,02/21/2023 02:13:37 PM,02/17/2023 09:59:42 PM,02/21/2023 02:13:36 PM,02/21/2023 02:13:37 PM,"12216 TAWNY FARMS RD, AUSTIN, TX 78748",12216,TAWNY FARMS,AUSTIN,78748,TRAVIS,3081485.63082334,10026475.43125380,30.14841004,-97.84989775,"(30.14841004, -97.84989775)",8,702G,MD12
23-00103299,Coyote Complaints,Phone,Closed,02/21/2023 01:37:18 PM,02/18/2023 10:58:32 AM,02/21/2023 01:37:18 PM,02/21/2023 01:37:18 PM,"13507 CALDWELL DR, AUSTIN, TX 78750",13507,CALDWELL,AUSTIN,78750,WILLIAMSON,3097020.48740873,10136802.12153420,30.4507217,-97.79279143,"(30.4507217, -97.79279143)",6,433R,MF38
23-00104810,Coyote Complaints,Phone,Closed,02/21/2023 02:07:30 PM,02/19/2023 09:52:34 AM,02/21/2023 02:07:30 PM,02/21/2023 02:07:30 PM,"4003 VALLEY VIEW RD 1, AUSTIN, TX 78704",4003,VALLEY VIEW,AUSTIN,78704,TRAVIS,3101688.25222415,10057491.00178460,30.23241128,-97.78374986,"(30.23241128, -97.78374986)",5,614W,MG19
23-00106706,Coyote Complaints,Phone,Closed,02/21/2023 01:07:07 PM,02/20/2023 10:19:12 AM,02/21/2023 01:07:07 PM,02/21/2023 01:07:07 PM,"4500 STEINER RANCH BLVD, AUSTIN, TX 78732",4500,STEINER RANCH,AUSTIN,78732,TRAVIS,3070712.05187785,10110654.38787280,30.38046797,-97.87809672,"(30.38046797, -97.87809672)",,491R,MB32
23-00108566,Coyote Complaints,Phone,Closed,02/23/2023 01:41:35 PM,02/21/2023 06:21:30 AM,02/23/2023 01:41:35 PM,02/23/2023 01:41:35 PM,"SHOAL CREEK BLVD & MC ELROY DR, AUSTIN, TX",,SHOAL CREEK BLVD & MC ELROY DR,AUSTIN,78757,TRAVIS,3114498.18092730,10102893.73936730,30.3564029,-97.73984682,"(30.3564029, -97.73984682)",7,525F,MJ30
23-00114018,Coyote Complaints,Phone,Closed,02/23/2023 09:18:19 AM,02/23/2023 08:42:48 AM,02/23/2023 09:18:19 AM,02/23/2023 09:18:19 AM,"MULBERRY GROVE LN & EMERALD LAWN DR, AUSTIN, TX",,MULBERRY GROVE LN & EMERALD LAWN DR,AUSTIN,78723,TRAVIS,3135252.25175468,10080934.10242870,30.29469275,-97.67572669,"(30.29469275, -97.67572669)",1,586D,MM24
23-00114182,Coyote Complaints,Phone,Closed,02/24/2023 10:26:52 AM,02/23/2023 09:42:29 AM,02/24/2023 10:26:52 AM,02/24/2023 10:26:52 AM,"6107 BUFFALO PASS B, AUSTIN, TX 78745",6107,BUFFALO,AUSTIN,78745,TRAVIS,3095075.00058228,10050123.00150860,30.21257261,-97.80521545,"(30.21257261, -97.80521545)",5,643L,MF17
23-00114314,Coyote Complaints,Phone,Closed,02/24/2023 10:29:57 AM,02/23/2023 10:25:25 AM,02/24/2023 10:29:57 AM,02/24/2023 10:29:57 AM,"8801 TALLWOOD DR, AUSTIN, TX 78759",8801,TALLWOOD,AUSTIN,78759,TRAVIS,3112922.75138558,10111002.99745110,30.378795,-97.74424211,"(30.378795, -97.74424211)",10,495S,MJ31
23-00114322,Coyote Complaints,Phone,Closed,02/28/2023 12:09:52 PM,02/23/2023 10:30:45 AM,02/28/2023 12:09:52 PM,02/28/2023 12:09:52 PM,"6500 CHAMPION GRANDVIEW WAY, AUSTIN, TX 78750",6500,CHAMPION GRANDVIEW,AUSTIN,78750,TRAVIS,3097885.77249566,10105401.55874760,30.36435063,-97.79232217,"(30.36435063, -97.79232217)",10,523D,MF30
23-00116300,Coyote Complaints,Phone,Closed,02/24/2023 01:49:36 PM,02/24/2023 08:49:51 AM,02/24/2023 01:49:36 PM,02/24/2023 01:49:36 PM,"941 VILLA RIALTO VW, LEANDER, TX 78641",941,VILLA RIALTO,LEANDER,78641,TRAVIS,3056481.81420613,10169978.41475300,30.54440317,-97.91913252,"(30.54440317, -97.91913252)",,340Z,WZ46
23-00117524,Coyote Complaints,Phone,Closed,03/01/2023 12:20:45 PM,02/24/2023 03:54:53 PM,03/01/2023 12:20:44 PM,03/01/2023 12:20:45 PM,"1818 ADINA ST, AUSTIN, TX 78721",1818,ADINA,AUSTIN,78721,TRAVIS,3134177.65899377,10076888.07362050,30.28364152,-97.67943642,"(30.28364152, -97.67943642)",1,586L,MM23
23-00118186,Coyote Complaints,Phone,Closed,03/01/2023 12:20:48 PM,02/25/2023 03:00:12 AM,03/01/2023 12:20:48 PM,03/01/2023 12:20:48 PM,"9218 BALCONES CLUB DR, AUSTIN, TX 78750",9218,BALCONES CLUB,AUSTIN,78750,WILLIAMSON,3098748.00074064,10134081.99879320,30.44313579,-97.78750786,"(30.44313579, -97.78750786)",6,434W,MG37
23-00118989,Coyote Complaints,Phone,Closed,02/28/2023 04:11:32 PM,02/25/2023 02:51:50 PM,02/28/2023 04:11:32 PM,02/28/2023 04:11:32 PM,"W WELLS BRANCH PKWY & DOUBLE FILE TRL, AUSTIN, TX",,W WELLS BRANCH PKWY & DOUBLE FILE TRL,AUSTIN,78728,TRAVIS,3129302.41887736,10134256.51912170,30.44165641,-97.69056015,"(30.44165641, -97.69056015)",,436X,ML37
23-00121165,Coyote Complaints,Phone,Closed,03/01/2023 11:56:38 AM,02/27/2023 09:11:27 AM,03/01/2023 11:56:38 AM,03/01/2023 11:56:38 AM,"1190 AIRPORT BLVD, AUSTIN, TX 78702",1190,AIRPORT,AUSTIN,78702,TRAVIS,3127440.51835333,10073640.51247010,30.27515467,-97.70101833,"(30.27515467, -97.70101833)",1,586N,ML23
23-00121846,Coyote Complaints,Phone,Closed,02/28/2023 12:18:47 PM,02/27/2023 12:16:03 PM,02/28/2023 12:18:47 PM,02/28/2023 12:18:47 PM,"610 ZENNIA ST, AUSTIN, TX 78751",610,ZENNIA,AUSTIN,78751,TRAVIS,3118294.38887952,10089424.71701190,30.31913471,-97.72881375,"(30.31913471, -97.72881375)",9,555L,MK26
23-00125626,Coyote Complaints,Phone,Closed,03/02/2023 09:00:14 AM,02/28/2023 07:12:42 PM,03/02/2023 09:00:14 AM,03/02/2023 09:00:14 AM,"ALTA VISTA AVE & E MONROE ST, AUSTIN, TX",,ALTA VISTA AVE & E MONROE ST,AUSTIN,78704,TRAVIS,3114507.75055215,10062422.00138690,30.24515157,-97.74280442,"(30.24515157, -97.74280442)",9,615J,MJ20
