learn,fun,expectations
"Review R, learn python, better understand how to analyze data",Go to coffee shops,"Be communicative, available, and accommodating.  "
R data science tools. maybe tableau too,"video games, watch football",
I want to continue improving my skills in statistics and data analysis and learning more about the ins and outs of statistics.,I love working out and taking portraits for other people!,"I expect that Dr. Guyot is attentive, empathetic, clearly communicative, and understanding (as I expect from all instructors)!"
I want to learn how R and Python are used to analyze data in a career setting,I like to play video games!  ,"The instructor expects me to be a participating student and to try my best to understand the topics, and likewise my expectation for the instructor are that they will be understanding and accommodating  "
Learning tools and skills needed in bio information  ,Hiking,Care about their students and put effort into being available to students when needed.  
Have a basic understanding on data science,Video games,
"Programming skills in R and Python, Especially using tidyverse.",Play the piano,"To be a good professor, teach us the content well"
Just better fundamentals of data science and how to analyze data.,I like to read for fun,To teach the fundamentals of data science and hopefully make me even more interested in pursuing it.
How to scrape data and generate valuable observations from the same.,"Discover new music! (especially jazz, indie rock and house)",My expectations are to learn some practical skills that I can apply to a career in finance or as biology researcher.
I would want to learn the programming and different skills required to be better at statistics.  ,I like to dance and watch youtube videos,
"Data wrangling

Python for data science",I love to hike and take photos!,"Good organization and frequently communicates to class about important deadlines, assignment requirements, etc."
More data science skills. Building off the introduction statistics class I have already taken.,Watch movies.,Effective instruction over the course content. Availability to answer questions I have.
I would most like to learn the application of statistics and data science using coding technology and how it applies to the field of healthcare.  ,I enjoy playing soccer and working out  ,I expect an approachable professor who is available to their students and has an apt knowledge of the material.
Improve R knowledge,Cooking,Clear communication of deadlines and expectations is nice
How to quickly process data and figure out what method to use to analyze,Play guitar,Communicate when things are due far in advance.
I want to learn how to use R (more in depth than what I learned in STA 371g) to manipulate datasets and learn from them.,"I like to binge watch shows on Netflix, bake, and read. Recently, I've been getting into hiking and enjoying nature.  ",To teach me more about data science and how to apply it in a realistic way (something we would see in the professional world)
Basic principles of data science as can be applied to bioinformatics scenarios,I love cooking and baking!,Clear communication of instructions and fair assessment of graded work.
"I really want to get a hang of coding again, it has been two years since I have done R, and would like to be somewhat capable in coding.","I play a lot of ultimate frisbee for fun along with cooking/baking, camping, as well as some video games.",I expect a certain level of professionalism and understanding with the class.
Better applications of data science.,Play guitar.,
Basic knowledge and experience in data science,"Video games, soccer, and movies",Fun lectures!
"I would like to use R better, because I have used it several times and never actually learned it.  ",I'm not really that experienced with R to say.  ,That you just teach me and that is it. I love teachers that are very active in actually making sure the student learns with projects instead of tests.  
"I would like to become more proficient in R and learn some Python. I do not have much experience with coding except for my Biostats class. I am a bit nervous because I don't know if many other people in the class will have more experience with coding and that may put me at a slower pace than some others. I am a quick learner, and I hope to use the skills I learn in this class.  ","I really like to watch movies or try out new makeup looks. I enjoy going to comic-con with my family, and I hope to go again when COVID calms down.  ","I want to be encouraged to learn more about the class, but I also want the instructor to be patient since I do not have much experience with coding or analyzing data.  "
I would like to have a basic understanding of programming in R. I have used python in the past.,I like to run.,I would like patience and understanding in case there are any extraneous situations that prevent students from giving 100% for an assignment.
"I would like to learn how to conduct analysis on data sets for my research, and to get a better intuition on whether or not the results I'm getting are reasonable, as opposed to taking them at face value.",Reading/writing or playing video games,"Teaching the basics of R and Python programming, and building a foundation for best practices of data analysis!"
i want to learn how to become more comfortable in being able to read graphs faster and interpreting data more efficiently  ,read and dance  ,i would like to be able to attend office hours and talk to the instructor. comfortably about material and any questions that i have regarding content within the course    
"I am excited to learn more about R programming and Python. I am very passionate about data science so I am excited to do projects and labs, which allows me to be hands on and gain experience for future internships and classes.","I like to play tennis, spend time with friends, read books, go out to eat, occasionally cook, and spend time with family.  ",I may have a lot of questions on a few concepts and so some patience while I figure out things would be nice :) I am excited to learn and I hope that the class is not a boring lecture about the concepts. It would be great to have a balance between learning and also having a bit of creative fun during class as well.  
R competency  ,I like to workout!,Great at explaining concepts in a clear way
coding skills and data analysis skills,Rock Climb,To be accommodating of the current pandemic and personal complications that may occur
become proficient at using R,"play soccer, run, and hang out with my friends",to explain everything in a way that someone with no previous experience would understand.  
Coding skills  ,"Play basketball, go on walks, build model kits",Help students understand material easily.  
General Data science that could help me with computer stuff in the future,Sleep,Fairness
I would like to learn how to create graphs using R.,I listen to a lot of pop music,N/A
I'd like to get acquainted with the current workflow data analysts do on a daily basis,I'd like to work out and hiking in my spare time.,I hope the instructor is caring and patient with my questions
I have no background on R and I want to start learning some basic skills on R.,Go trail on the weekend,I hope the instructor could explain the R in more detailed ways because I am not familiar with R or other programming tools. Thank you!
"The skills and tools needed to become a well-rounded data scientist as well as, hopefully, an opportunity to acquire an internship  ","Videography! I edit and film projects with the ambition to work with music artists and perhaps film a music festival. I have barely just begun doing it professionally, but this is my portfolio so far!

Website Link:

https://moyzanabria.myportfolio.com/","So far from the first lecture I attended, I am confident Dr. Guyot will be a great professor. I simply would like a professor that is attentive and passionate about teaching. I noticed this since a good portion of the class stepped forward to say ""Hi again"" in the first lecture and that's something that I found very meaningful.  "
"Programming and analytical skills.

R and Python skills.","I love to sing, and I also love trying new restaurants.","I really hope to understand the foundations of R. I also hope that the instructor is understanding with the current COVID circumstances. I believe that the professor has explained the objectives extremely well, and I really appreciate that."
"I want to continue increasing my familiarity with R and other languages that might be useful in data science. I €™m still exploring data science as a career but I know I already enjoy statistics, business, and communication.  ",I like to go rock climbing!  ,To provide intriguing and applicable ways to learn about data science.  
Tools,"I am a huge foodie so I love exploring new restaurants and eating out

  ","Just to be receptive of students €™ perspectives, ideas, and learning pace."
I would like to learn how to do visualizations for topics interesting to me using python.,I love to do oil paintings.,I hope the instructor will be flexible with understanding issues students might be having with testing positive with covid or suspecting you are sick as well.
"Skills in R and other packages in Python are a big thing I want to gain. I also want to gain experience not only working with data, but also finding and editing data.","I like playing piano. I have taught myself for a few years now. Additionally, I love listening to classical music.","For this semester, I expect the instructor to be able to explain information and topics to students clearly, while also being able to clarify any questions asked by the students. I also expect that our assignments will be graded in a timely manner and we will have good feedback."
Become better at programing data and interpreting it.  ,Go for coffee runs.  ,To be passionate about the course material and student learning.
I would like to learn how to work with these data analyzing tools like R and Python because I think it would be really useful for my future so I can conduct data analysis on my own.,"I really like music so I enjoy going to live concerts by artists I know well, or only a little bit, to experience their music live","I expect the instructor to make guidelines clear and help, within reason, and in a manner that is not too demanding of the professor, when it comes to coursework. I believe this allows students to perform well, but importantly, learn better."
"After the semester, I would hope to feel comfortable when given big data sets, from cleaning the initial database to making accurate inferences from the analysis performed.  ",I would say playing soccer in a competitive setting (intramurals and private tournaments) or watching Esports such as Call of Duty and HALO.,"I really hope that the instructor is able to teach us in a way that I can become comfortable with managing data sets and performing analysis in various settings. In my home school, I took Statistics and we got introduced to R software but I don't really feel that I truly learned so that I could possibly apply it in examples that were not directly related to the class.  "
I want to go into a data science field so I want to perfect my skills and develop them more. I also want to learn how to use the software that data analysts and scientists use.,Knit and do outdoor things,To be understanding of everything going on.
"I used R studio a couple of years ago, but I fear I've lost any skills I developed at that time. I would love to be proficient in R studio as I think that would be a valuable asset to my resume.  ","Lately, I've really been trying to expand my horizons regarding what shows I watch, so something I've loved doing is I'll randomly pick a show on Hulu, and then also pick a random episode from the middle of the show's run, watch it, and then decide based on that random episode whether or not I think I would like the show.  ","I am very nervous about the level of R studio proficiency that is expected of us, especially because I feel like I'm starting from the beginning, so I would just hope that the professor would be available and open to explaining and practicing with us where needed.  "
Strengthen my skills using the R programming  ,I like to dance  ,the professor to be flexible with any assignments  
I guess mostly just using python and r together,"Piano, bouldering (i stopped cuz of corona)",To get more comfortable with python and r!!!
Develop skills in R,Play soccer,To be able to teach elements of data science to develop R and Python skills
hands-on data science/data analysis skills and experience!,"When I'm free, I like to watch and play pool, tennis and darts. I'm also a huge college football fan, and I watch NFL sometimes!",Just try your best!
How to use Python!  ,"I love to run! It allows me to explore all the wonderful areas of Austin, move my body, and enjoy time away from school/work/my phone. I'm running the half marathon this weekend!  ","To help guide us through statistics, computational biology, R studio, and Python. It is going to be a great semester!  "
how to work with data,music,to teach us the material as good as she can in a fun way!
coding skills,Watching movies,"I don't have any background in coding, so it will be great if the instructor could explain more while teaching and at a slower pace"
Programming in R,Poker and Skiing,
More about R studio and its uses.   Diving into Python more would be helpful.,Watch movies/TV shows,I would like them to be understanding of the situation of covid and be supportive.    
I want to become more proficient in R and develop my presentation skills.  ,Read books!,I did not come into the course with any expectations besides delivering the content and being available during scheduled times.  
Basic programming skills,Singing and dance,To explain expectations clearly.
I'm most excited about learning about the statistical significance of results.,"Videogames, especially super smash bros.",Prioritization of teaching skills.
I would just like to know more about data science and its applications. Specifically I think it could be cool to see how a data scientist might code. As a CS major I think I have other skills to solve some really complex problems.  ,I love to cook and lift weights.,I just want reasonable homeworks and active instruction. I dislike instruction that is purely from out of class content.
A lot of my family have careers that involve coding and I have always been intimidated by it since I have never really dealt with coding before. I am excited to learn more about it.  ,"I like to read, spend time with my family, play with my dogs, and watch shows/movies.",To have patience considering that I do not know much about coding and not really good at working with technology.  
How to do a project and presentation as if I were on the job as a data scientist,I play League of Legends. I love the game so much that I used data sets for a class that I TA'd for. I'll probably do a project on League this semester,Interesting topics and useful coding techniques
"Being able to do statistics, programming, and communication. Work on python",Listen to music while talking to friends/ doing R-code,To effectively communicate the results.
"Data science, R, Python, data analysis","Watch shows, hang out with friends, listen to music",To teach me the things I expect to learn from this class as listed in question 7
How to use programming software and improve with data analysis.  ,all kinds of art and ice skating!,To provide good explanations in lectures and to make the content digestible and understandable.   Also to provide opportunities to improve in our preformance such as extra credit.  
"I want to become more proficient in R, and become accustom to python. (So really just to become a better coder because I am certainly far from good hehe)",Play tennis,To be as amazing as I remember in past and be accessible when needed :)
I would like to appreciate coding more and also figure out how statistics can help me in my career as an economist.,I am on the UT competitive rock climbing team and I climb at a gym 4 times a week.,I hope the instructor has a passion for the subject matter.
Learning what goes into Data Science and getting a feel for its applications.,I enjoy spending time with my friends from San Antonio when I go back to visit occasionally and watching/playing sports such as football and basketball.,To be open to questions as the course progresses and accommodating for whatever challenges students may face during the semester.
I have used coding for mathematics in some other classes before but I was never really good at it and it was also not a strict requirement so I would try to use it as little as possible. I want to get better at it so that I can list it as a skill on my resume.  ,"I like to be active by playing sports such as soccer, volleyball, or just running.  ","Be very interactive with the students. I feel like this is the type of course that requires not only explanation of the subject but also a lot of practice problems in order to learn, so im expecting a lot of problems to be available to practice. It also helps me when I know my professors are available to help me and make me feel comfortable in asking questions ( I already felt that you do this just from the first lecture).  "
"I have used R Studio before for a statistics class, but I'm really weak with Python and programming in particular so I would really love to get much more proficient in those programs as well as just seeing what data science is, what I can do with it, and skills that can help me in future classes or life. I am also in econometrics right now, which is related to this course, but also very different, so I really think taking them both together will really give me a good base of knowledge! I know it will be tough but I'm excited to get started!","One thing I love to do for fun is be involved in sports in any capacity. I once volunteered at a college basketball tournament as the person who wipes up sweat on the floor when a player fell down. More recently, I was an intramural official for Rec Sports at UT, and I plan to do that this semester as well. I also love to watch sports (mainly golf, basketball, and football) and go to as many UT sports events as I possibly can! I also grew up playing golf as well as ultimate frisbee.","I would just like clear expectations for projects and assignments and for you to continue to provide us a little bit of time for breakout rooms (or soon in-person group discussions) because I found it very helpful and interesting during today's class to be able to talk to others. I know it's a class of 60 or 65 and we can't expect you to stop lecture every time someone has a technology question, so just allowing us to talk to others for a few minutes can give us a valuable chance to make sure everyone is on the same page!  "
I would love to be able to learn more applications for programming and explore this interdisciplinary field. Being able to be fluent and understand the qualities of R and Python better will also help prepare for my research project that I am undertaking this summer!,"Recently, I have been loom knitting a lot. I primarily make beanies and am willing to share any pictures upon request :D",To provide me with the best learning experience possible! I want the instructor to help me grow both academically and personally :)
I would like to become more comfortable using R Studio,Play video games,Im not sure
how to use python,i like to go to the gym,To give clear instructions and help when material becomes unclear.
"Data Analysis, Data Visualization",Play soccer,Just to have interesting assignments
Not sure,Crochet,
I look forward to learning about Python and how to visualize my data in a way that makes sense to anyone. I also look forward to enhancing my skills in R.,"I like to read, sing, and paint! I also like journaling and arts and crafts!  ","I would like for deadlines to be communicated in advance, if possible!"
I would like to continue building on my current knowledge of R studio and hopefully be introduced to Python.  ,I like to listen to music and play tennis for fun.,#NAME?
"How data science is used in real-world situations, language   R, and review Python.  ",Practice coding and go to the gym.,To genuinely care about students growth throughout their course :)
R studio and Python basics that I can hopefully apply and use in my professional career.,"Listen to music, go to concerts, dance, play the cello, and discover new movies/TV shows!","To be understanding of illnesses or other personal issues, and to explain course objectives and expectations thoroughly without room for many doubts so we can have a clear idea of how assignments will be graded and interpreted."
"I'm looking most forward to the data wrangling portion. During my last stats course, our end-of-year project involved trying to build machine learning models. However, we mostly had to learn to data clean ourselves. As such, I read a little bit about mice packages and missforest. However, I feel like it would be a lot clearer with some guided instruction, especially since many of the articles on data cleaning mentioned that it is oftentimes 70-90% of the job in data modeling.","I love making themed playlists! I have a collection of maybe 70 something playlists on Spotify, ranging from a jellyfish theme to an Avatar: The Last Airbender Earth Nation theme.  ","Mostly, I hope we get clear communication and help if we ask direct questions about a concept. I feel like, since so much of data science, builds on itself, I might have a decent number of questions to make sure I get the basis right. Hopefully, if I come in with questions, I can get some clarifications about these or pointed in the direction of resources to learn more about it."
Better at using ggplot2 to illustrate data and provide exploratory analysis.,"Play card games, play video games with friends, care for fish/dog/cat.",To become more technically competent in R.
technical skills in statistical analysis tools,"playing sports, painting",availability and flexibility throughout the semester
I want to learn more about cleaning data and exploratory data analysis!,"I love to bake vegan desserts, especially cupcakes and layered cakes!",I'm hoping to get guidance during class/student hours and the freedom to have fun with the subject outside of that! Low stakes assignments can help with this!
Learning how to organize data in a way that makes analysis easier or less messy. I want to have a better understanding of R and how it is used in different fields.,"I occasionally read (usually fiction), though I'm pretty bad at finishing a book. I like to spend time with my friends (who are some of my favorite people).",To see slides uploaded after lecture so that they can be accessed in time to work on homework or the labs. I expect student hours to be helpful for any questions I might have over the material.  
"I am looking forward to learning about Python! I am not exactly sure how it will be different from working with R studio, so it will be an interesting jump.  ","I love playing music! A lot of my family teach music, so there is always a spare instrument in my house to play.  ",I am hoping there will be ample amount of time (and availability) to ask questions and lots of room for growth.  
"R studio, more insight onto the concept of data science",Weightlifting  ,To be understanding and knowledgable  
Most interested in learning what we €™re going to do with Python,I like to make crafts,Really I just look for an understanding and accommodating professor  
A better understanding of data science,play basketball,To give a better understanding of topics that confuse me
"Im really excited about learning different coding languages such as Python for this semester. Additionally, I am excited to see how the content of the class translates to the real world.","Stream shows on Netflix, Hulu, HBO, etc.","Just having clear communication and explanation of content and course requirements. Also I really like professors who communicate in a nice manner, and aren't sarcastic or condescending.  "
"I'm really interested in gaining data visualization skills, and learning how to use R and Python. Research is going to be a huge part of the career that I want to go into, so I feel like learning these skills before I graduate would be super useful.  ","I love going to the gym, reading, and I love fashion/vintage clothes so I love thrifting and going to vintage markets!  ",I hope to be challenged but also encouraged and motivated by our professor this semester. I hope to be met with grace and understanding.  
I would like to learn how to efficiently use R Studio for coding,"I enjoy reading/writing, as well as hiking and anything nature related.","A positive learning environment, a willingness to be understanding of how some may struggle with online learning/have extenuating circumstances if (God forbid) they were to contract COVID.  "
do some hands-on projects and learn skills for data science,"watch movie, outside activity, play table tennis",simply and clearly explain the questions of homework and projects
Data visualization,Collect records,Accessibility
"I am excited to gain practice and learn technical skills in R. I am working as an analyst for an insurance broker upon my graduation in May, and I think gaining some general ideas about working in the data and being able to provide strong data analysis will greatly help me in my career.","I love sports, hiking, anything on the water, going out with friends, reading books, and chess.  ",I expect the instructor to teach with energy and passion. When a teacher can make the class interesting and brings energy to the classroom I am excited to be there and it drives me to do my best work.  
"1. data visualization

2. basic programming skills","Playing table tennis, listening to music and singing songs",I don't major in data science so I hope the instructor will be patient with me when I'm confused.
I would like to better my skills in statistics,"In my free time, I typically either binge TV shows (the most recent being all of the old Amazing Race seasons) or play video games.","Fast response times, as well as plenty of office hours"
"I think what I want to learn most from this class is what the core of data science is. It's a very broad field that doesn't receive much, if any media coverage so having it explained and broken down would be very helpful for STEM majors who may be considering it as a career. Example: Are there different areas of data science one could specialize in? Will the expectations of a data scientist differ wildly based on the position or are the methods relatively transferable?","I like to read books! I must admit I have a penchant for either fantasy or romance novels - my favorite book series so far is the Wheel of Time by Robert Jordan (fantasy series, think Lord of the Rings). For this reason I also play visual novels - in my free time I indulge in the mobile game Choices that presents stories where you can make your own, hmmm... choices. One of the more ""wild"" stories is Queen B where you transfer to a new university, one where students are ranked according to their popularity - and you must fight for the crown! It's like Mean Girls but exaggerated - I just like drama!","My expectations from the instructor are to deliver the course in a way that is conducive for the students taking it - this includes listening and responding to feedback when able to, providing us with practice materials to study, and holding office hours for more in-depth explanations if a student requests.

I hope this isn't too much to expect... practice materials really benefits my studying!"
"I am excited to learn some basic Python, as that is a skill I don't have, and to improve upon my RStudio knowledge.",I like to try new restaurants around campus! I also bake sometimes because I love desserts.,My expectations of my instructor are to provide a welcoming learning environment and to fairly evaluate & teach all students equitably.
tools to analyze datasets in various fields and conduct analysis that I am interested in,i love to play basketball and read books!,"willingness to filed questions (even if they are basic)

lenience with students who may need extra time / help if communicated early"
I would like to increase my familiarity with R as well as have a more formal introduction to Data Science.,play basketball,consistent communication about deadlines and any class updates
interested in learning coding and different statistical data analyses,"I am on the University of Texas Water Ski team, and I love being out on the lake, participating in all water sports!","having a well organized course, available for for questions, and answers questions I have thoroughly with explanation"
Knowledge on working with databases/datasets and predictive analysis skills.,"Rock climbing, swimming, and paddle boarding!",Convey useful knowledge in a digestible manner.
I'm really excited to dive into data science and learn how to take in and clean up messy data.,I enjoy going to movies and seeing all the new movies that come out with my friends.,Just to open and communicate and to guide us in the right direction to be successful in learning a new topic like data science.
I want to learn how to utilize R efficiently.  ,I like to go to the gym and listen to music.  ,I expect the instructor teach me the fundamentals of R.  
I hope to learn more about analyzing results and understanding what they mean/ how they can be applied to real life.  ,I like hanging out with my friends and watching movies!  ,I hope to learn from someone who genuinely loves what they teach. Its makes me more motivated to understand whats going on and continue learning on my own.  
I want to get introduced to Python -- I'm pretty experienced in R but have yet to work with Python.  ,Play Dungeons & Dragons with my friends!,"* Grades and feedback provided in a timely manner

* Willingness to repeat concepts/steps that are new to students"
Become more computer proficient,Play sports!,"To be able to help and explain clearly any issues I have, especially with me not being proficient with coding, I would hope the instructor would be able to explain things for me to understand easily."
How to better organize and interpret big data,"Soccer, reading, working out",Give us the proper tools to become a better data scientist
Necessary tools to use for future jobs in data analysis and statistics,I love to play video games and write and produce music,I'm hoping they are very caring and help me achieve whatever academic goals that I've set for myself
coding,"dance, listen to music, painting",please be communicative and open about all levels in coding!
I am excited to learn how to utilize tools such as R and Python and apply it to data science.  ,"I love to knit and crochet while watching movies/tv shows. I also like to go on trails with my dog, Tofu.  ",I expect the instructor to post assignments in a timely manner and provide an open space for discussion and inclusion.
"I never took an official data science class, so I'd like to learn about the basic data science concepts.",I like playing chess for fun.,"I don't have experience in R programming, so I hope the lecture is clear and easy to follow."
I want to acquire skills of approaching data tasks and building my portfolio.  ,I like to watch movies and find restaurants/cafes that have great food!,I do not have any particular expectations.  
RStudio and how to analyze large amount of data,hunting and shooting,Provide lecture recordings
analyzing sequencing data,I love singing and discovering good music! :),
I would like to have a basic understanding of R by the end of this course. I used it a little bit in ECO329 (Economic Statistics) but would like more practice.  ,"I practice speaking Spanish with a friend that lives in Buenos Aires, Argentina. She taught me Spanish and I taught her English!",I have heard great things about Dr. Guyot previously. My expectations are that she is a great and kind teacher and I have appreciated her level of enthusiasm for each of the classes so far.  
I am interested to learn python and review r. I'm excited to know the basics.,I enjoy reading books these days.,"Hopefully, the instructor will take time in teaching us the skills required for labs and assignments.  "
R and Python,Rock climbing  ,Hands on experience and guidance with R.
"I want to learn about new content and tools previously unfamiliar so that I may utilize them in real-world applications. My goal is to get a job so that I am not broke and no longer have to rely on my parents :,)","I make art, listen to lots of music, go out and explore new fun places (mostly food related) and honestly tag along for any adventures my friends may embark on!","To provide me skills that I can use in the job marketplace to give me an edge, that make me more successful at my job by lessening the learning curve, and honestly, I want to see more cool things regarding data visualization. I love ggplot! Oh, and I also want to get a lot of experience in data preparation, which, as you mentioned, is where most of the data science legwork is."
A greater ability to analyze and draw accurate/potent conclusions from statistics,"Listen to a lot of different music, play video games, watch UFC","Don't really have anything specific. I guess I expect Professor Guyot to be informative, helpful to me if I need her individual assistance, and be able to properly elaborate on any questions I may have about the course content."
Applicable skills to data science-related jobs. So exploratory data analysis and having the skillset to code to find a desired insight.  ,Bodybuilding! I want to compete in my first show next summer.  ,To be engaging and enthusiastic about the material
I would like to develop a better understanding of the basics of coding.,"I enjoy skateboarding, baking, and hiking.  ",Be supportive and responsive to any questions I may have.  
